"initial_alias","converted_alias","name","description","namespace"
"AC009318","ENSG00000087502","ERGIC2","ERGIC and golgi 2 [Source:HGNC Symbol;Acc:HGNC:30208]","EMBL"
"AC010531","ENSG00000103264","FBXO31","F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]","EMBL"
"AC010531","ENSG00000140941","MAP1LC3B","microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352]","EMBL"
"AC010531","ENSG00000140948","ZCCHC14","zinc finger CCHC-type containing 14 [Source:HGNC Symbol;Acc:HGNC:24134]","EMBL"
"AC010531","ENSG00000260456","C16orf95","chromosome 16 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:40033]","EMBL"
"AC010680","ENSG00000155657","TTN","titin [Source:HGNC Symbol;Acc:HGNC:12403]","EMBL"
"AC010680","ENSG00000155657","TTN","titin [Source:HGNC Symbol;Acc:HGNC:12403]","EMBL"
"AC011447","ENSG00000213988","ZNF90","zinc finger protein 90 [Source:HGNC Symbol;Acc:HGNC:13165]","EMBL"
"AC011447","ENSG00000256229","ZNF486","zinc finger protein 486 [Source:HGNC Symbol;Acc:HGNC:20807]","EMBL"
"AC011484","ENSG00000182013","PNMA8A","PNMA family member 8A [Source:HGNC Symbol;Acc:HGNC:25578]","EMBL"
"AC011484","ENSG00000204851","PNMA8B","PNMA family member 8B [Source:HGNC Symbol;Acc:HGNC:29206]","EMBL"
"AC011495","ENSG00000126453","BCL2L12","BCL2 like 12 [Source:HGNC Symbol;Acc:HGNC:13787]","EMBL"
"AC011495","ENSG00000126456","IRF3","interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]","EMBL"
"AC011495","ENSG00000126457","PRMT1","protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]","EMBL"
"AC011495","ENSG00000126461","SCAF1","SR-related CTD associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30403]","EMBL"
"AC011495","ENSG00000126464","PRR12","proline rich 12 [Source:HGNC Symbol;Acc:HGNC:29217]","EMBL"
"AC011495","ENSG00000126467","TSKS","testis specific serine kinase substrate [Source:HGNC Symbol;Acc:HGNC:30719]","EMBL"
"AC011495","ENSG00000169169","CPT1C","carnitine palmitoyltransferase 1C [Source:HGNC Symbol;Acc:HGNC:18540]","EMBL"
"AC011495","ENSG00000196961","AP2A1","adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]","EMBL"
"AC011495","ENSG00000224420","ADM5","adrenomedullin 5 (putative) [Source:HGNC Symbol;Acc:HGNC:27293]","EMBL"
"AC011726","ENSG00000104765","BNIP3L","BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]","EMBL"
"AC012236","ENSG00000169926","KLF13","KLF transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]","EMBL"
"AC012236","ENSG00000175344","CHRNA7","cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960]","EMBL"
"AC012511","ENSG00000068654","POLR1A","RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]","EMBL"
"AC012511","ENSG00000115525","ST3GAL5","ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]","EMBL"
"AC015660","ENSG00000068305","MEF2A","myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]","EMBL"
"AC015813","ENSG00000136450","SRSF1","serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]","EMBL"
"AC015813","ENSG00000136451","VEZF1","vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]","EMBL"
"AC015813","ENSG00000180891","CUEDC1","CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]","EMBL"
"AC015912","ENSG00000121060","TRIM25","tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]","EMBL"
"AC015912","ENSG00000153933","DGKE","diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:HGNC:2852]","EMBL"
"AC016571","ENSG00000055163","CYFIP2","cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]","EMBL"
"AC016571","ENSG00000172568","FNDC9","fibronectin type III domain containing 9 [Source:HGNC Symbol;Acc:HGNC:33547]","EMBL"
"AC018644","ENSG00000105939","ZC3HAV1","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","EMBL"
"AC018644","ENSG00000105948","IFT56","intraflagellar transport 56 [Source:HGNC Symbol;Acc:HGNC:21882]","EMBL"
"AC018690","ENSG00000135945","REV1","REV1 DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:14060]","EMBL"
"AC018690","ENSG00000144218","AFF3","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]","EMBL"
"AC018690","ENSG00000158417","EIF5B","eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]","EMBL"
"AC022217","None","None","None",""
"AC022306","ENSG00000140285","FGF7","fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]","EMBL"
"AC022306","ENSG00000156958","GALK2","galactokinase 2 [Source:HGNC Symbol;Acc:HGNC:4119]","EMBL"
"AC022306","ENSG00000166262","FAM227B","family with sequence similarity 227 member B [Source:HGNC Symbol;Acc:HGNC:26543]","EMBL"
"AC024257","ENSG00000167528","ZNF641","zinc finger protein 641 [Source:HGNC Symbol;Acc:HGNC:31834]","EMBL"
"AC024257","ENSG00000187166","H1-7","H1.7 linker histone [Source:HGNC Symbol;Acc:HGNC:24893]","EMBL"
"AC025165","ENSG00000037897","METTL1","methyltransferase 1, tRNA methylguanosine [Source:HGNC Symbol;Acc:HGNC:7030]","EMBL"
"AC025165","ENSG00000123297","TSFM","Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]","EMBL"
"AC025165","ENSG00000123427","EEF1AKMT3","EEF1A lysine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:24936]","EMBL"
"AC025165","ENSG00000135407","AVIL","advillin [Source:HGNC Symbol;Acc:HGNC:14188]","EMBL"
"AC025165","ENSG00000135439","AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]","EMBL"
"AC025165","ENSG00000135446","CDK4","cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]","EMBL"
"AC025165","ENSG00000135452","TSPAN31","tetraspanin 31 [Source:HGNC Symbol;Acc:HGNC:10539]","EMBL"
"AC025165","ENSG00000135454","B4GALNT1","beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]","EMBL"
"AC025165","ENSG00000135506","OS9","OS9 endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]","EMBL"
"AC025165","ENSG00000178498","DTX3","deltex E3 ubiquitin ligase 3 [Source:HGNC Symbol;Acc:HGNC:24457]","EMBL"
"AC025165","ENSG00000240771","ARHGEF25","Rho guanine nucleotide exchange factor 25 [Source:HGNC Symbol;Acc:HGNC:30275]","EMBL"
"AC025165","ENSG00000257921","None","novel protein","EMBL"
"AC025171","ENSG00000172262","ZNF131","zinc finger protein 131 [Source:HGNC Symbol;Acc:HGNC:12915]","EMBL"
"AC025171","ENSG00000177721","ANXA2R","annexin A2 receptor [Source:HGNC Symbol;Acc:HGNC:33463]","EMBL"
"AC026471","ENSG00000140675","SLC5A2","solute carrier family 5 member 2 [Source:HGNC Symbol;Acc:HGNC:11037]","EMBL"
"AC026471","ENSG00000140682","TGFB1I1","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]","EMBL"
"AC026471","ENSG00000140688","RUSF1","RUS family member 1 [Source:HGNC Symbol;Acc:HGNC:25848]","EMBL"
"AC026471","ENSG00000140691","ARMC5","armadillo repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:25781]","EMBL"
"AC026471","ENSG00000176723","ZNF843","zinc finger protein 843 [Source:HGNC Symbol;Acc:HGNC:28710]","EMBL"
"AC027309","ENSG00000214357","NEURL1B","neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]","EMBL"
"AC027373","ENSG00000164924","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]","EMBL"
"AC034236","ENSG00000145781","COMMD10","COMM domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30201]","EMBL"
"AC034236","ENSG00000172901","LVRN","laeverin [Source:HGNC Symbol;Acc:HGNC:26904]","EMBL"
"AC034236","ENSG00000268223","ARL14EPL","ADP ribosylation factor like GTPase 14 effector protein like [Source:HGNC Symbol;Acc:HGNC:44201]","EMBL"
"AC046143","ENSG00000041802","LSG1","large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]","EMBL"
"AC046143","ENSG00000145014","TMEM44","transmembrane protein 44 [Source:HGNC Symbol;Acc:HGNC:25120]","EMBL"
"AC051619","ENSG00000137857","DUOX1","dual oxidase 1 [Source:HGNC Symbol;Acc:HGNC:3062]","EMBL"
"AC051619","ENSG00000137860","SLC28A2","solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]","EMBL"
"AC051619","ENSG00000138606","SHF","Src homology 2 domain containing F [Source:HGNC Symbol;Acc:HGNC:25116]","EMBL"
"AC060766","ENSG00000154760","SLFN13","schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]","EMBL"
"AC060766","ENSG00000172716","SLFN11","schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633]","EMBL"
"AC064801","ENSG00000141664","ZCCHC2","zinc finger CCHC-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22916]","EMBL"
"AC064805","ENSG00000172794","RAB37","RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]","EMBL"
"AC064805","ENSG00000186074","CD300LF","CD300 molecule like family member f [Source:HGNC Symbol;Acc:HGNC:29883]","EMBL"
"AC064805","ENSG00000186407","CD300E","CD300e molecule [Source:HGNC Symbol;Acc:HGNC:28874]","EMBL"
"AC067930","ENSG00000014164","ZC3H3","zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]","EMBL"
"AC067930","ENSG00000104518","GSDMD","gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]","EMBL"
"AC067930","ENSG00000104522","GFUS","GDP-L-fucose synthase [Source:HGNC Symbol;Acc:HGNC:12390]","EMBL"
"AC067930","ENSG00000104524","PYCR3","pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]","EMBL"
"AC067930","ENSG00000104529","EEF1D","eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]","EMBL"
"AC067930","ENSG00000147813","NAPRT","nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]","EMBL"
"AC067930","ENSG00000179886","TIGD5","tigger transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:18336]","EMBL"
"AC067930","ENSG00000183309","ZNF623","zinc finger protein 623 [Source:HGNC Symbol;Acc:HGNC:29084]","EMBL"
"AC067930","ENSG00000204839","MROH6","maestro heat like repeat family member 6 [Source:HGNC Symbol;Acc:HGNC:27814]","EMBL"
"AC073534","ENSG00000213096","ZNF254","zinc finger protein 254 [Source:HGNC Symbol;Acc:HGNC:13047]","EMBL"
"AC073548","ENSG00000105402","NAPA","NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]","EMBL"
"AC073548","ENSG00000105419","MEIS3","Meis homeobox 3 [Source:HGNC Symbol;Acc:HGNC:29537]","EMBL"
"AC073548","ENSG00000118156","ZNF541","zinc finger protein 541 [Source:HGNC Symbol;Acc:HGNC:25294]","EMBL"
"AC073548","ENSG00000118160","SLC8A2","solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]","EMBL"
"AC073548","ENSG00000118162","KPTN","kaptin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:6404]","EMBL"
"AC073861","ENSG00000081154","PCNP","PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]","EMBL"
"AC073861","ENSG00000138468","SENP7","SUMO specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:30402]","EMBL"
"AC073861","ENSG00000174173","TRMT10C","tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:HGNC Symbol;Acc:HGNC:26022]","EMBL"
"AC079848","ENSG00000114544","SLC41A3","solute carrier family 41 member 3 [Source:HGNC Symbol;Acc:HGNC:31046]","EMBL"
"AC079848","ENSG00000144908","ALDH1L1","aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]","EMBL"
"AC079921","ENSG00000109790","KLHL5","kelch like family member 5 [Source:HGNC Symbol;Acc:HGNC:6356]","EMBL"
"AC079921","ENSG00000121895","TMEM156","transmembrane protein 156 [Source:HGNC Symbol;Acc:HGNC:26260]","EMBL"
"AC087362","ENSG00000085788","DDHD2","DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106]","EMBL"
"AC087362","ENSG00000147535","PLPP5","phospholipid phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:25026]","EMBL"
"AC087362","ENSG00000147548","NSD3","nuclear receptor binding SET domain protein 3 [Source:HGNC Symbol;Acc:HGNC:12767]","EMBL"
"AC087741","ENSG00000141519","CCDC40","coiled-coil domain 40 molecular ruler complex subunit [Source:HGNC Symbol;Acc:HGNC:26090]","EMBL"
"AC087741","ENSG00000141527","CARD14","caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]","EMBL"
"AC087741","ENSG00000141543","EIF4A3","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]","EMBL"
"AC087741","ENSG00000171298","GAA","alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]","EMBL"
"AC087741","ENSG00000181523","SGSH","N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818]","EMBL"
"AC091271","ENSG00000062716","VMP1","vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]","EMBL"
"AC091271","ENSG00000108406","DHX40","DEAH-box helicase 40 [Source:HGNC Symbol;Acc:HGNC:18018]","EMBL"
"AC091271","ENSG00000141367","CLTC","clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]","EMBL"
"AC091271","ENSG00000141378","PTRH2","peptidyl-tRNA hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:24265]","EMBL"
"AC092017","ENSG00000143473","KCNH1","potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]","EMBL"
"AC092017","ENSG00000283952","None","novel protein","EMBL"
"AC092115","ENSG00000141101","NOB1","NIN1 (RPN12) binding protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:29540]","EMBL"
"AC092115","ENSG00000181019","NQO1","NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]","EMBL"
"AC092115","ENSG00000198373","WWP2","WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16804]","EMBL"
"AC092118","ENSG00000140854","KATNB1","katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]","EMBL"
"AC092118","ENSG00000140859","KIFC3","kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]","EMBL"
"AC092123","ENSG00000167522","ANKRD11","ankyrin repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21316]","EMBL"
"AC092123","ENSG00000167526","RPL13","ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]","EMBL"
"AC092123","ENSG00000178773","CPNE7","copine 7 [Source:HGNC Symbol;Acc:HGNC:2320]","EMBL"
"AC092123","ENSG00000197912","SPG7","SPG7 matrix AAA peptidase subunit, paraplegin [Source:HGNC Symbol;Acc:HGNC:11237]","EMBL"
"AC092471","None","None","None",""
"AC092535","ENSG00000159674","SPON2","spondin 2 [Source:HGNC Symbol;Acc:HGNC:11253]","EMBL"
"AC092535","ENSG00000159692","CTBP1","C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]","EMBL"
"AC092535","ENSG00000178222","RNF212","ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]","EMBL"
"AC092683","None","None","None",""
"AC092746","ENSG00000166523","CLEC4E","C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555]","EMBL"
"AC092746","ENSG00000166527","CLEC4D","C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]","EMBL"
"AC092746","ENSG00000205846","CLEC6A","C-type lectin domain containing 6A [Source:HGNC Symbol;Acc:HGNC:14556]","EMBL"
"AC093583","ENSG00000106617","PRKAG2","protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]","EMBL"
"AC095055","ENSG00000109686","SH3D19","SH3 domain containing 19 [Source:HGNC Symbol;Acc:HGNC:30418]","EMBL"
"AC095055","ENSG00000145425","RPS3A","ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]","EMBL"
"AC098591","ENSG00000078177","N4BP2","NEDD4 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:29851]","EMBL"
"AC098591","ENSG00000121892","PDS5A","PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088]","EMBL"
"AC099489","ENSG00000175643","RMI2","RecQ mediated genome instability 2 [Source:HGNC Symbol;Acc:HGNC:28349]","EMBL"
"AC099489","ENSG00000188897","None","novel lipoprotein amino terminal region containing protein","EMBL"
"AC099489","ENSG00000189067","LITAF","lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]","EMBL"
"AC108471","ENSG00000078140","UBE2K","ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914]","EMBL"
"AC108471","ENSG00000163683","SMIM14","small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]","EMBL"
"AC109454","ENSG00000006837","CDKL3","cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]","EMBL"
"AC109454","ENSG00000119048","UBE2B","ubiquitin conjugating enzyme E2 B [Source:HGNC Symbol;Acc:HGNC:12473]","EMBL"
"AC109454","ENSG00000273345","None","novel transcript","EMBL"
"AC114495","ENSG00000060688","SNRNP40","small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]","EMBL"
"AC114495","ENSG00000084628","NKAIN1","sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]","EMBL"
"AC116407","ENSG00000126858","RHOT1","ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]","EMBL"
"AC116407","ENSG00000126858","RHOT1","ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]","EMBL"
"AC118553","ENSG00000117620","SLC35A3","solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]","EMBL"
"AC118553","ENSG00000283761","None","novel protein","EMBL"
"AC124068","ENSG00000140521","POLG","DNA polymerase gamma, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9179]","EMBL"
"AC124068","ENSG00000140522","RLBP1","retinaldehyde binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10024]","EMBL"
"AC124068","ENSG00000140525","FANCI","FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]","EMBL"
"AC124068","ENSG00000140526","ABHD2","abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]","EMBL"
"AC124068","ENSG00000291307","POLGARF","POLG alternative reading frame [Source:HGNC Symbol;Acc:HGNC:56246]","EMBL"
"AC124319","ENSG00000173821","RNF213","ring finger protein 213 [Source:HGNC Symbol;Acc:HGNC:14539]","EMBL"
"AC132872","ENSG00000141526","SLC16A3","solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]","EMBL"
"AC132872","ENSG00000141551","CSNK1D","casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]","EMBL"
"AC132872","ENSG00000141574","SECTM1","secreted and transmembrane 1 [Source:HGNC Symbol;Acc:HGNC:10707]","EMBL"
"AC132872","ENSG00000173762","CD7","CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]","EMBL"
"AC132872","ENSG00000176155","CCDC57","coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:HGNC:27564]","EMBL"
"AC133134","None","None","None",""
"AC133644","None","None","None",""
"AC134312","ENSG00000172530","BANP","BTG3 associated nuclear protein [Source:HGNC Symbol;Acc:HGNC:13450]","EMBL"
"AC134682","ENSG00000171045","TSNARE1","t-SNARE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26437]","EMBL"
"AC134682","ENSG00000181790","ADGRB1","adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943]","EMBL"
"AC135721","ENSG00000012048","BRCA1","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]","EMBL"
"AC135721","ENSG00000108828","VAT1","vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]","EMBL"
