"initial_alias","converted_alias","name","description","namespace"
"AC004687","ENSG00000213246","SUPT4H1","SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]","EMBL"
"AC004687","ENSG00000285897","None","novel transcript","EMBL"
"AC004771","ENSG00000091640","SPAG7","sperm associated antigen 7 [Source:HGNC Symbol;Acc:HGNC:11216]","EMBL"
"AC004771","ENSG00000108509","CAMTA2","calmodulin binding transcription activator 2 [Source:HGNC Symbol;Acc:HGNC:18807]","EMBL"
"AC004771","ENSG00000108515","ENO3","enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]","EMBL"
"AC004771","ENSG00000108518","PFN1","profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]","EMBL"
"AC004771","ENSG00000108523","RNF167","ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]","EMBL"
"AC004771","ENSG00000108528","SLC25A11","solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]","EMBL"
"AC004771","ENSG00000129250","KIF1C","kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]","EMBL"
"AC004951","ENSG00000136206","SPDYE1","speedy/RINGO cell cycle regulator family member E1 [Source:HGNC Symbol;Acc:HGNC:16408]","EMBL"
"AC004951","ENSG00000136206","SPDYE1","speedy/RINGO cell cycle regulator family member E1 [Source:HGNC Symbol;Acc:HGNC:16408]","EMBL"
"AC005070","ENSG00000005483","KMT2E","lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]","EMBL"
"AC005070","ENSG00000135250","SRPK2","SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]","EMBL"
"AC005072","ENSG00000257923","CUX1","cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]","EMBL"
"AC005082","ENSG00000122550","KLHL7","kelch like family member 7 [Source:HGNC Symbol;Acc:HGNC:15646]","EMBL"
"AC005082","ENSG00000136231","IGF2BP3","insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]","EMBL"
"AC005082","ENSG00000136235","GPNMB","glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]","EMBL"
"AC005082","ENSG00000136243","NUP42","nucleoporin 42 [Source:HGNC Symbol;Acc:HGNC:17010]","EMBL"
"AC005082","ENSG00000156928","MALSU1","mitochondrial assembly of ribosomal large subunit 1 [Source:HGNC Symbol;Acc:HGNC:21721]","EMBL"
"AC005264","ENSG00000060558","GNA15","G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]","EMBL"
"AC005840","ENSG00000111319","SCNN1A","sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]","EMBL"
"AC005840","ENSG00000111321","LTBR","lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]","EMBL"
"AC005840","ENSG00000139190","VAMP1","vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]","EMBL"
"AC005840","ENSG00000139192","TAPBPL","TAP binding protein like [Source:HGNC Symbol;Acc:HGNC:30683]","EMBL"
"AC005840","ENSG00000139193","CD27","CD27 molecule [Source:HGNC Symbol;Acc:HGNC:11922]","EMBL"
"AC005954","ENSG00000011132","APBA3","amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]","EMBL"
"AC005954","ENSG00000105289","TJP3","tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]","EMBL"
"AC006033","ENSG00000010270","STARD3NL","STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]","EMBL"
"AC006033","ENSG00000211691","TRGJP","T cell receptor gamma joining P [Source:HGNC Symbol;Acc:HGNC:12279]","EMBL"
"AC006033","ENSG00000211693","TRGV11","T cell receptor gamma variable 11 (non-functional) [Source:HGNC Symbol;Acc:HGNC:12286]","EMBL"
"AC006033","ENSG00000211695","TRGV9","T cell receptor gamma variable 9 [Source:HGNC Symbol;Acc:HGNC:12295]","EMBL"
"AC006033","ENSG00000211696","TRGV8","T cell receptor gamma variable 8 [Source:HGNC Symbol;Acc:HGNC:12294]","EMBL"
"AC006033","ENSG00000211697","TRGV5","T cell receptor gamma variable 5 [Source:HGNC Symbol;Acc:HGNC:12290]","EMBL"
"AC006330","ENSG00000127948","POR","cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]","EMBL"
"AC006330","ENSG00000127952","STYXL1","serine/threonine/tyrosine interacting like 1 [Source:HGNC Symbol;Acc:HGNC:18165]","EMBL"
"AC006330","ENSG00000146701","MDH2","malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]","EMBL"
"AC006330","ENSG00000189077","TMEM120A","transmembrane protein 120A [Source:HGNC Symbol;Acc:HGNC:21697]","EMBL"
"AC006435","ENSG00000070444","MNT","MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]","EMBL"
"AC006435","ENSG00000127804","METTL16","methyltransferase 16, RNA N6-adenosine [Source:HGNC Symbol;Acc:HGNC:28484]","EMBL"
"AC006435","ENSG00000141258","SGSM2","small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]","EMBL"
"AC006504","None","None","None",""
"AC006538","ENSG00000104969","SGTA","small glutamine rich tetratricopeptide repeat co-chaperone alpha [Source:HGNC Symbol;Acc:HGNC:10819]","EMBL"
"AC006538","ENSG00000141873","SLC39A3","solute carrier family 39 member 3 [Source:HGNC Symbol;Acc:HGNC:17128]","EMBL"
"AC006538","ENSG00000172006","ZNF554","zinc finger protein 554 [Source:HGNC Symbol;Acc:HGNC:26629]","EMBL"
"AC006538","ENSG00000172009","THOP1","thimet oligopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:11793]","EMBL"
"AC006538","ENSG00000176490","DIRAS1","DIRAS family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:19127]","EMBL"
"AC006538","ENSG00000176533","GNG7","G protein subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]","EMBL"
"AC006538","ENSG00000267001","None","novel protein","EMBL"
"AC007191","ENSG00000010310","GIPR","gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]","EMBL"
"AC007191","ENSG00000011478","QPCTL","glutaminyl-peptide cyclotransferase like [Source:HGNC Symbol;Acc:HGNC:25952]","EMBL"
"AC007191","ENSG00000125743","SNRPD2","small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]","EMBL"
"AC007191","ENSG00000177051","FBXO46","F-box protein 46 [Source:HGNC Symbol;Acc:HGNC:25069]","EMBL"
"AC007292","ENSG00000008382","MPND","MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]","EMBL"
"AC007292","ENSG00000141985","SH3GL1","SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]","EMBL"
"AC007298","ENSG00000084110","HAL","histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]","EMBL"
"AC007298","ENSG00000111144","LTA4H","leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]","EMBL"
"AC007342","ENSG00000103479","RBL2","RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]","EMBL"
"AC007342","ENSG00000166971","AKTIP","AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710]","EMBL"
"AC007342","ENSG00000103479","RBL2","RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]","EMBL"
"AC007342","ENSG00000166971","AKTIP","AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710]","EMBL"
"AC007406","ENSG00000010379","SLC6A13","solute carrier family 6 member 13 [Source:HGNC Symbol;Acc:HGNC:11046]","EMBL"
"AC007406","ENSG00000073614","KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]","EMBL"
"AC007406","ENSG00000111181","SLC6A12","solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]","EMBL"
"AC007406","ENSG00000120645","IQSEC3","IQ motif and Sec7 domain ArfGEF 3 [Source:HGNC Symbol;Acc:HGNC:29193]","EMBL"
"AC007546","ENSG00000076513","ANKRD13A","ankyrin repeat domain 13A [Source:HGNC Symbol;Acc:HGNC:21268]","EMBL"
"AC007546","ENSG00000122970","IFT81","intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]","EMBL"
"AC007546","ENSG00000174456","C12orf76","chromosome 12 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:33790]","EMBL"
"AC007637","ENSG00000076248","UNG","uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]","EMBL"
"AC007637","ENSG00000076555","ACACB","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]","EMBL"
"AC007785","ENSG00000008438","PGLYRP1","peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]","EMBL"
"AC007785","ENSG00000104983","CCDC61","coiled-coil domain containing 61 [Source:HGNC Symbol;Acc:HGNC:33629]","EMBL"
"AC007785","ENSG00000188624","IGFL3","IGF like family member 3 [Source:HGNC Symbol;Acc:HGNC:32930]","EMBL"
"AC007785","ENSG00000204866","IGFL2","IGF like family member 2 [Source:HGNC Symbol;Acc:HGNC:32929]","EMBL"
"AC007785","ENSG00000204869","IGFL4","IGF like family member 4 [Source:HGNC Symbol;Acc:HGNC:32931]","EMBL"
"AC007879","ENSG00000118263","KLF7","KLF transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]","EMBL"
"AC008569","ENSG00000123136","DDX39A","DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]","EMBL"
"AC008569","ENSG00000123143","PKN1","protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]","EMBL"
"AC008569","ENSG00000123146","ADGRE5","adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711]","EMBL"
"AC008569","ENSG00000123159","GIPC1","GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226]","EMBL"
"AC008750","ENSG00000105374","NKG7","natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]","EMBL"
"AC008750","ENSG00000105379","ETFB","electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]","EMBL"
"AC008750","ENSG00000142512","SIGLEC10","sialic acid binding Ig like lectin 10 [Source:HGNC Symbol;Acc:HGNC:15620]","EMBL"
"AC008750","ENSG00000186806","VSIG10L","V-set and immunoglobulin domain containing 10 like [Source:HGNC Symbol;Acc:HGNC:27111]","EMBL"
"AC008750","ENSG00000262874","C19orf84","chromosome 19 open reading frame 84 [Source:HGNC Symbol;Acc:HGNC:27112]","EMBL"
"AC008750","ENSG00000269403","None","novel protein","EMBL"
"AC008750","ENSG00000105374","NKG7","natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]","EMBL"
"AC008750","ENSG00000105379","ETFB","electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]","EMBL"
"AC008750","ENSG00000142512","SIGLEC10","sialic acid binding Ig like lectin 10 [Source:HGNC Symbol;Acc:HGNC:15620]","EMBL"
"AC008750","ENSG00000186806","VSIG10L","V-set and immunoglobulin domain containing 10 like [Source:HGNC Symbol;Acc:HGNC:27111]","EMBL"
"AC008750","ENSG00000262874","C19orf84","chromosome 19 open reading frame 84 [Source:HGNC Symbol;Acc:HGNC:27112]","EMBL"
"AC008750","ENSG00000269403","None","novel protein","EMBL"
"AC008764","ENSG00000085872","CHERP","calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]","EMBL"
"AC008764","ENSG00000105072","C19orf44","chromosome 19 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:26141]","EMBL"
"AC008764","ENSG00000105085","MED26","mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]","EMBL"
"AC008764","ENSG00000127526","SLC35E1","solute carrier family 35 member E1 [Source:HGNC Symbol;Acc:HGNC:20803]","EMBL"
"AC008764","ENSG00000127527","EPS15L1","epidermal growth factor receptor pathway substrate 15 like 1 [Source:HGNC Symbol;Acc:HGNC:24634]","EMBL"
"AC008764","ENSG00000141979","None","novel protein","EMBL"
"AC008764","ENSG00000214046","SMIM7","small integral membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:28419]","EMBL"
"AC008764","ENSG00000268790","None","novel protein","EMBL"
"AC008764","ENSG00000269058","CALR3","calreticulin 3 [Source:HGNC Symbol;Acc:HGNC:20407]","EMBL"
"AC008764","ENSG00000085872","CHERP","calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]","EMBL"
"AC008764","ENSG00000105072","C19orf44","chromosome 19 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:26141]","EMBL"
"AC008764","ENSG00000105085","MED26","mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]","EMBL"
"AC008764","ENSG00000127526","SLC35E1","solute carrier family 35 member E1 [Source:HGNC Symbol;Acc:HGNC:20803]","EMBL"
"AC008764","ENSG00000127527","EPS15L1","epidermal growth factor receptor pathway substrate 15 like 1 [Source:HGNC Symbol;Acc:HGNC:24634]","EMBL"
"AC008764","ENSG00000141979","None","novel protein","EMBL"
"AC008764","ENSG00000214046","SMIM7","small integral membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:28419]","EMBL"
"AC008764","ENSG00000268790","None","novel protein","EMBL"
"AC008764","ENSG00000269058","CALR3","calreticulin 3 [Source:HGNC Symbol;Acc:HGNC:20407]","EMBL"
"AC008770","ENSG00000171291","ZNF439","zinc finger protein 439 [Source:HGNC Symbol;Acc:HGNC:20873]","EMBL"
"AC008770","ENSG00000196757","ZNF700","zinc finger protein 700 [Source:HGNC Symbol;Acc:HGNC:25292]","EMBL"
"AC008770","ENSG00000197054","ZNF763","zinc finger protein 763 [Source:HGNC Symbol;Acc:HGNC:27614]","EMBL"
"AC008770","ENSG00000197647","ZNF433","zinc finger protein 433 [Source:HGNC Symbol;Acc:HGNC:20811]","EMBL"
"AC008770","ENSG00000198429","ZNF69","zinc finger protein 69 [Source:HGNC Symbol;Acc:HGNC:13138]","EMBL"
"AC008770","ENSG00000257355","None","novel protein","EMBL"
"AC008770","ENSG00000267179","None","novel protein","EMBL"
"AC008770","ENSG00000286098","None","novel protein","EMBL"
"AC008895","None","None","None",""
"AC008945","ENSG00000198865","CCDC152","coiled-coil domain containing 152 [Source:HGNC Symbol;Acc:HGNC:34438]","EMBL"
"AC008945","ENSG00000250722","SELENOP","selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]","EMBL"
"AC008969","ENSG00000152454","ZNF256","zinc finger protein 256 [Source:HGNC Symbol;Acc:HGNC:13049]","EMBL"
"AC008969","ENSG00000152467","ZSCAN1","zinc finger and SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23712]","EMBL"
"AC008969","ENSG00000166704","ZNF606","zinc finger protein 606 [Source:HGNC Symbol;Acc:HGNC:25879]","EMBL"
"AC009061","ENSG00000159708","LRRC36","leucine rich repeat containing 36 [Source:HGNC Symbol;Acc:HGNC:25615]","EMBL"
"AC009061","ENSG00000159714","ZDHHC1","zinc finger DHHC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:17916]","EMBL"
"AC009061","ENSG00000159720","ATP6V0D1","ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]","EMBL"
"AC009061","ENSG00000168676","KCTD19","potassium channel tetramerization domain containing 19 [Source:HGNC Symbol;Acc:HGNC:24753]","EMBL"
"AC009061","ENSG00000176387","HSD11B2","hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]","EMBL"
"AC009065","ENSG00000008710","PKD1","polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]","EMBL"
"AC009065","ENSG00000131653","TRAF7","TNF receptor associated factor 7 [Source:HGNC Symbol;Acc:HGNC:20456]","EMBL"
"AC009065","ENSG00000167964","RAB26","RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]","EMBL"
"AC009065","ENSG00000167965","MLST8","MTOR associated protein, LST8 homolog [Source:HGNC Symbol;Acc:HGNC:24825]","EMBL"
"AC009065","ENSG00000167967","E4F1","E4F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3121]","EMBL"
"AC009065","ENSG00000167968","DNASE1L2","deoxyribonuclease 1 like 2 [Source:HGNC Symbol;Acc:HGNC:2958]","EMBL"
"AC009065","ENSG00000167969","ECI1","enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]","EMBL"
"AC009065","ENSG00000167972","ABCA3","ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]","EMBL"
"AC009065","ENSG00000182685","BRICD5","BRICHOS domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28309]","EMBL"
"AC009065","ENSG00000184207","PGP","phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]","EMBL"
"AC009065","ENSG00000205937","RNPS1","RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]","EMBL"
"AC009093","None","None","None",""
"AC009093","None","None","None",""
"AC009120","ENSG00000103035","PSMD7","proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]","EMBL"
"AC009159","ENSG00000178573","MAF","MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]","EMBL"
"AC009163","ENSG00000135702","CHST5","carbohydrate sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:1973]","EMBL"
"AC009163","ENSG00000153774","CFDP1","craniofacial development protein 1 [Source:HGNC Symbol;Acc:HGNC:1873]","EMBL"
"AC009163","ENSG00000166822","TMEM170A","transmembrane protein 170A [Source:HGNC Symbol;Acc:HGNC:29577]","EMBL"
"AC009163","ENSG00000205084","TMEM231","transmembrane protein 231 [Source:HGNC Symbol;Acc:HGNC:37234]","EMBL"
"AC009163","ENSG00000261717","None","novel TMEM170A-CFDP1 readthrough protein","EMBL"
"AC009226","None","None","None",""
"AC009237","ENSG00000144010","TRIM43B","tripartite motif containing 43B [Source:HGNC Symbol;Acc:HGNC:37146]","EMBL"
"AC009237","ENSG00000144015","TRIM43","tripartite motif containing 43 [Source:HGNC Symbol;Acc:HGNC:19015]","EMBL"
"AC009948","ENSG00000079150","FKBP7","FKBP prolyl isomerase 7 [Source:HGNC Symbol;Acc:HGNC:3723]","EMBL"
"AC009948","ENSG00000079156","OSBPL6","oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]","EMBL"
"AC009948","ENSG00000116095","PLEKHA3","pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]","EMBL"
"AC009948","ENSG00000155657","TTN","titin [Source:HGNC Symbol;Acc:HGNC:12403]","EMBL"
"AC009948","ENSG00000180228","PRKRA","protein activator of interferon induced protein kinase EIF2AK2 [Source:HGNC Symbol;Acc:HGNC:9438]","EMBL"
"AC009948","ENSG00000204311","PJVK","pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]","EMBL"
"AC009996","ENSG00000104131","EIF3J","eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]","EMBL"
"AC009996","ENSG00000104133","SPG11","SPG11 vesicle trafficking associated, spatacsin [Source:HGNC Symbol;Acc:HGNC:11226]","EMBL"
"AC009996","ENSG00000137770","CTDSPL2","CTD small phosphatase like 2 [Source:HGNC Symbol;Acc:HGNC:26936]","EMBL"
"AC009996","ENSG00000229474","PATL2","PAT1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:33630]","EMBL"
"AC010168","ENSG00000070019","GUCY2C","guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]","EMBL"
"AC010168","ENSG00000084463","WBP11","WW domain binding protein 11 [Source:HGNC Symbol;Acc:HGNC:16461]","EMBL"
"AC010168","ENSG00000246705","H2AJ","H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]","EMBL"
"AC010210","ENSG00000114670","NEK11","NIMA related kinase 11 [Source:HGNC Symbol;Acc:HGNC:18593]","EMBL"
"AC010210","ENSG00000198585","NUDT16","nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]","EMBL"
"AC010359","ENSG00000112851","ERBIN","erbb2 interacting protein [Source:HGNC Symbol;Acc:HGNC:15842]","EMBL"
"AC010422","ENSG00000095059","DHPS","deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]","EMBL"
"AC010422","ENSG00000104774","MAN2B1","mannosidase alpha class 2B member 1 [Source:HGNC Symbol;Acc:HGNC:6826]","EMBL"
"AC010422","ENSG00000105583","WDR83OS","WD repeat domain 83 opposite strand [Source:HGNC Symbol;Acc:HGNC:30203]","EMBL"
"AC010422","ENSG00000123154","WDR83","WD repeat domain 83 [Source:HGNC Symbol;Acc:HGNC:32672]","EMBL"
"AC010422","ENSG00000173875","ZNF791","zinc finger protein 791 [Source:HGNC Symbol;Acc:HGNC:26895]","EMBL"
"AC010422","ENSG00000188033","ZNF490","zinc finger protein 490 [Source:HGNC Symbol;Acc:HGNC:23705]","EMBL"
"AC010422","ENSG00000249709","ZNF564","zinc finger protein 564 [Source:HGNC Symbol;Acc:HGNC:31106]","EMBL"
"AC010422","ENSG00000269590","None","novel protein","EMBL"
"AC010422","ENSG00000285589","None","novel transcript","EMBL"
"AC010619","ENSG00000090554","FLT3LG","fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]","EMBL"
"AC010619","ENSG00000104870","FCGRT","Fc gamma receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]","EMBL"
"AC010619","ENSG00000104872","PIH1D1","PIH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26075]","EMBL"
"AC010619","ENSG00000104888","SLC17A7","solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]","EMBL"
"AC010619","ENSG00000126460","PRRG2","proline rich and Gla domain 2 [Source:HGNC Symbol;Acc:HGNC:9470]","EMBL"
"AC010619","ENSG00000126464","PRR12","proline rich 12 [Source:HGNC Symbol;Acc:HGNC:29217]","EMBL"
"AC010619","ENSG00000142534","RPS11","ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]","EMBL"
"AC010619","ENSG00000142541","RPL13A","ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]","EMBL"
"AC010619","ENSG00000142546","NOSIP","nitric oxide synthase interacting protein [Source:HGNC Symbol;Acc:HGNC:17946]","EMBL"
"AC010619","ENSG00000142552","RCN3","reticulocalbin 3 [Source:HGNC Symbol;Acc:HGNC:21145]","EMBL"
"AC010619","ENSG00000161609","KASH5","KASH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:26520]","EMBL"
"AC010619","ENSG00000161618","ALDH16A1","aldehyde dehydrogenase 16 family member A1 [Source:HGNC Symbol;Acc:HGNC:28114]","EMBL"
"AC010619","ENSG00000261949","GFY","golgi associated olfactory signaling regulator [Source:HGNC Symbol;Acc:HGNC:44663]","EMBL"
"AC010680","ENSG00000155657","TTN","titin [Source:HGNC Symbol;Acc:HGNC:12403]","EMBL"
"AC011447","ENSG00000213988","ZNF90","zinc finger protein 90 [Source:HGNC Symbol;Acc:HGNC:13165]","EMBL"
"AC011447","ENSG00000256229","ZNF486","zinc finger protein 486 [Source:HGNC Symbol;Acc:HGNC:20807]","EMBL"
"AC011468","ENSG00000142556","ZNF614","zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]","EMBL"
"AC011468","ENSG00000196267","ZNF836","zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]","EMBL"
"AC011468","ENSG00000197608","ZNF841","zinc finger protein 841 [Source:HGNC Symbol;Acc:HGNC:27611]","EMBL"
"AC011468","ENSG00000197619","ZNF615","zinc finger protein 615 [Source:HGNC Symbol;Acc:HGNC:24740]","EMBL"
"AC011468","ENSG00000204611","ZNF616","zinc finger protein 616 [Source:HGNC Symbol;Acc:HGNC:28062]","EMBL"
